FC002: Avoid string interpolation where not required: ./providers/site.rb:36
FC017: LWRP does not notify when updated: ./providers/app.rb:26
FC017: LWRP does not notify when updated: ./providers/app.rb:40
FC017: LWRP does not notify when updated: ./providers/app.rb:57
FC017: LWRP does not notify when updated: ./providers/config.rb:27
FC017: LWRP does not notify when updated: ./providers/pool.rb:27
FC017: LWRP does not notify when updated: ./providers/pool.rb:41
FC017: LWRP does not notify when updated: ./providers/pool.rb:68
FC017: LWRP does not notify when updated: ./providers/pool.rb:78
FC017: LWRP does not notify when updated: ./providers/pool.rb:88
FC017: LWRP does not notify when updated: ./providers/pool.rb:98
FC017: LWRP does not notify when updated: ./providers/pool.rb:106
FC017: LWRP does not notify when updated: ./providers/site.rb:26
FC017: LWRP does not notify when updated: ./providers/site.rb:50
FC017: LWRP does not notify when updated: ./providers/site.rb:84
FC017: LWRP does not notify when updated: ./providers/site.rb:94
FC017: LWRP does not notify when updated: ./providers/site.rb:104
FC017: LWRP does not notify when updated: ./providers/site.rb:114
FC059: LWRP provider does not declare use_inline_resources: ./providers/app.rb:1
FC059: LWRP provider does not declare use_inline_resources: ./providers/config.rb:1
FC059: LWRP provider does not declare use_inline_resources: ./providers/pool.rb:1
FC059: LWRP provider does not declare use_inline_resources: ./providers/site.rb:1
FC064: Ensure issues_url is set in metadata: ./metadata.rb:1
FC065: Ensure source_url is set in metadata: ./metadata.rb:1
FC066: Ensure chef_version is set in metadata: ./metadata.rb:1
FC069: Ensure standardized license defined in metadata: ./metadata.rb:1
